5.727: [GC [PSYoungGen: 25699K->64K(38208K)] 314000K->313664K(387776K), 0.0134290 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
5.741: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 313600K->266218K(349568K)] 313664K->266218K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1465930 secs] [Times: user=0.24 sys=0.00, real=0.15 secs] 
5.905: [GC [PSYoungGen: 32176K->32K(38208K)] 298395K->298427K(387776K), 0.0154390 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
5.955: [Full GC [PSYoungGen: 31175K->0K(38208K)] [ParOldGen: 339730K->268953K(349568K)] 370906K->268953K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1635630 secs] [Times: user=0.30 sys=0.00, real=0.16 secs] 
6.163: [Full GC [PSYoungGen: 21071K->0K(38208K)] [ParOldGen: 333144K->273652K(349568K)] 354216K->273652K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1661070 secs] [Times: user=0.29 sys=0.00, real=0.17 secs] 
6.372: [Full GC [PSYoungGen: 20156K->0K(38208K)] [ParOldGen: 336101K->273798K(349568K)] 356257K->273798K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1786630 secs] [Times: user=0.33 sys=0.00, real=0.18 secs] 
6.595: [Full GC [PSYoungGen: 20697K->0K(38208K)] [ParOldGen: 340422K->306217K(349568K)] 361120K->306217K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1899740 secs] [Times: user=0.33 sys=0.00, real=0.19 secs] 
6.808: [Full GC [PSYoungGen: 23720K->0K(38208K)] [ParOldGen: 326915K->330372K(349568K)] 350635K->330372K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1739520 secs] [Times: user=0.32 sys=0.00, real=0.17 secs] 
6.998: [Full GC [PSYoungGen: 30338K->13820K(38208K)] [ParOldGen: 330372K->346744K(349568K)] 360710K->360565K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.2150410 secs] [Times: user=0.38 sys=0.01, real=0.21 secs] 
7.220: [Full GC [PSYoungGen: 25982K->0K(38208K)] [ParOldGen: 346744K->174388K(349568K)] 372726K->174388K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1371290 secs] [Times: user=0.25 sys=0.00, real=0.14 secs] 
7.387: [GC [PSYoungGen: 20155K->32K(38208K)] 233712K->233744K(387776K), 0.0117990 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
